estimate,time_end,geography,season,sem,N_vax,N_tot
0.011000000000000001,2009-08-31,Iowa,2009/2010,0.0020408538276986167,29.0,2612.0
0.008,2009-08-31,Nebraska,2009/2010,0.002040853827698616,15.0,1905.0
0.006,2009-08-31,Ohio,2009/2010,0.001020426913849308,34.0,5728.0
0.011000000000000001,2009-08-31,Kentucky,2009/2010,0.0020408538276986167,29.0,2612.0
0.006999999999999999,2009-08-31,Alabama,2009/2010,0.0010204269138493088,47.0,6675.0
0.009000000000000001,2009-08-31,Indiana,2009/2010,0.00255106728462327,12.0,1370.0
0.011000000000000001,2009-08-31,Texas,2009/2010,0.0020408538276986167,29.0,2612.0
0.006999999999999999,2009-08-31,Alaska,2009/2010,0.0015306403707739623,21.0,2967.0
0.005,2009-08-31,Minnesota,2009/2010,0.001020426913849308,24.0,4778.0
0.004,2009-08-31,Montana,2009/2010,0.001020426913849308,15.0,3826.0
0.004,2009-08-31,Maine,2009/2010,0.001020426913849308,15.0,3826.0
0.009000000000000001,2009-08-31,Virginia,2009/2010,0.00255106728462327,12.0,1370.0
0.01,2009-08-31,Colorado,2009/2010,0.002040853827698616,24.0,2377.0
0.023,2009-08-31,Hawaii,2009/2010,0.0025510672846232683,79.0,3453.0
0.009000000000000001,2009-08-31,Maryland,2009/2010,0.00255106728462327,12.0,1370.0
0.008,2009-08-31,Wyoming,2009/2010,0.002040853827698616,15.0,1905.0
0.006999999999999999,2009-08-31,Florida,2009/2010,0.0010204269138493088,47.0,6675.0
0.006999999999999999,2009-08-31,California,2009/2010,0.0010204269138493088,47.0,6675.0
0.004,2009-08-31,South Carolina,2009/2010,0.001020426913849308,15.0,3826.0
0.006,2009-08-31,Oklahoma,2009/2010,0.0015306403707739623,15.0,2546.0
0.006,2009-08-31,Kansas,2009/2010,0.001020426913849308,34.0,5728.0
0.008,2009-08-31,Rhode Island,2009/2010,0.002040853827698616,15.0,1905.0
0.008,2009-08-31,Michigan,2009/2010,0.0015306403707739623,27.0,3387.0
0.008,2009-08-31,Massachusetts,2009/2010,0.002040853827698616,15.0,1905.0
0.005,2009-08-31,Washington,2009/2010,0.001020426913849308,24.0,4778.0
0.006999999999999999,2009-08-31,Utah,2009/2010,0.0015306403707739623,21.0,2967.0
0.006,2009-08-31,Illinois,2009/2010,0.0015306403707739623,15.0,2546.0
0.006999999999999999,2009-08-31,Arizona,2009/2010,0.0015306403707739623,21.0,2967.0
0.004,2009-08-31,New Jersey,2009/2010,0.001020426913849308,15.0,3826.0
0.006,2009-08-31,Mississippi,2009/2010,0.0015306403707739623,15.0,2546.0
0.004,2009-08-31,Pennsylvania,2009/2010,0.001020426913849308,15.0,3826.0
0.011000000000000001,2009-08-31,Georgia,2009/2010,0.0020408538276986167,29.0,2612.0
0.011000000000000001,2009-08-31,Louisiana,2009/2010,0.00255106728462327,18.0,1672.0
0.011000000000000001,2009-08-31,Nevada,2009/2010,0.003061280741547924,13.0,1161.0
0.006,2009-08-31,District of Columbia,2009/2010,0.0015306403707739623,15.0,2546.0
0.006,2009-08-31,Wisconsin,2009/2010,0.0015306403707739623,15.0,2546.0
0.004,2009-08-31,Oregon,2009/2010,0.001020426913849308,15.0,3826.0
0.004,2009-08-31,New Hampshire,2009/2010,0.001020426913849308,15.0,3826.0
0.008,2009-08-31,North Carolina,2009/2010,0.0015306403707739623,27.0,3387.0
0.044000000000000004,2009-09-30,Vermont,2009/2010,0.0030612807415479264,197.0,4489.0
0.094,2009-09-30,Iowa,2009/2010,0.0051021345692465435,308.0,3272.0
0.087,2009-09-30,Nebraska,2009/2010,0.004081707655397235,415.0,4768.0
0.075,2009-09-30,Ohio,2009/2010,0.004081707655397235,312.0,4164.0
0.095,2009-09-30,Kentucky,2009/2010,0.004591921112321889,387.0,4077.0
0.08199999999999999,2009-09-30,Alabama,2009/2010,0.0056123480261712055,196.0,2390.0
0.081,2009-09-30,Indiana,2009/2010,0.004591921112321882,286.0,3530.0
0.09,2009-09-30,Texas,2009/2010,0.004591921112321889,350.0,3884.0
0.083,2009-09-30,Alaska,2009/2010,0.007142988396945154,124.0,1492.0
0.10300000000000001,2009-09-30,Minnesota,2009/2010,0.005612348026171198,302.0,2933.0
0.057,2009-09-30,Arkansas,2009/2010,0.004591921112321886,145.0,2549.0
0.063,2009-09-30,Montana,2009/2010,0.0035714941984725805,292.0,4628.0
0.06,2009-09-30,Maine,2009/2010,0.0030612807415479264,361.0,6018.0
0.10800000000000001,2009-09-30,Virginia,2009/2010,0.013265549880041014,59.0,547.0
0.07200000000000001,2009-09-30,Tennessee,2009/2010,0.00510213456924654,185.0,2567.0
0.085,2009-09-30,Colorado,2009/2010,0.004081707655397235,397.0,4668.0
0.125,2009-09-30,Hawaii,2009/2010,0.005612348026171198,434.0,3472.0
0.075,2009-09-30,Delaware,2009/2010,0.004591921112321889,247.0,3290.0
0.092,2009-09-30,Maryland,2009/2010,0.004591921112321882,364.0,3962.0
0.08199999999999999,2009-09-30,Wyoming,2009/2010,0.0056123480261712055,196.0,2390.0
0.075,2009-09-30,South Dakota,2009/2010,0.004591921112321889,247.0,3290.0
0.069,2009-09-30,Florida,2009/2010,0.0030612807415479264,473.0,6855.0
